,age,job,marital,education,default,housing_loan,personal_loan,last_contact_month,day_of_week,num_contact_compaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,term_deposit
36,36,blue-collar,married,basic.6y,no,yes,no,may,wed,1,0,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
37,46,management,divorced,high.school,no,no,no,nov,wed,1,0,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
38,31,technician,single,N/A,no,yes,no,may,wed,1,0,1,failure,-1.8,92.893,-46.2,1.334,5099.1,no
39,20,student,single,N/A,no,no,no,oct,mon,3,0,3,failure,-1.1,94.601,-49.5,0.977,4963.6,no
40,35,services,married,high.school,no,yes,no,may,tue,1,0,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,no
43,45,entrepreneur,divorced,professional.course,no,yes,no,jul,tue,3,0,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
44,32,housemaid,married,basic.4y,no,yes,yes,may,fri,1,0,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no
45,39,management,single,university.degree,no,no,no,may,thu,2,0,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no
46,32,admin.,married,university.degree,no,no,no,nov,thu,1,0,0,nonexistent,-0.1,93.2,-42.0,4.592,5195.8,no
47,29,admin.,single,basic.9y,no,no,no,may,mon,2,0,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no
48,44,services,married,professional.course,no,no,no,aug,mon,2,0,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no
49,32,services,married,high.school,no,no,yes,jul,fri,3,0,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
50,56,retired,married,university.degree,no,yes,no,jun,wed,1,0,2,failure,-2.9,92.963,-40.8,1.26,5076.2,no
51,33,blue-collar,married,basic.9y,no,yes,no,may,thu,1,0,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no
52,39,management,married,high.school,no,no,no,aug,fri,3,0,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
53,24,technician,married,university.degree,no,yes,yes,sep,tue,2,3,1,success,-3.4,92.379,-29.8,0.77,5017.5,yes
54,33,admin.,single,university.degree,no,yes,no,may,thu,1,0,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no
55,58,entrepreneur,divorced,university.degree,no,no,no,jun,thu,2,0,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,no
56,29,admin.,single,university.degree,no,yes,no,jun,fri,27,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
57,31,admin.,married,university.degree,no,yes,no,aug,thu,1,0,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
58,27,admin.,married,university.degree,no,no,no,may,wed,5,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
59,60,admin.,divorced,professional.course,no,yes,no,sep,wed,1,0,1,failure,-1.1,94.199,-37.5,0.886,4963.6,yes
60,55,entrepreneur,married,professional.course,no,yes,yes,oct,mon,1,0,2,failure,-3.4,92.431,-26.9,0.739,5017.5,no
61,37,blue-collar,married,basic.9y,no,yes,no,may,wed,2,0,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
62,52,admin.,married,N/A,no,yes,no,apr,wed,1,6,1,success,-1.8,93.749,-34.6,0.654,5008.7,yes
63,46,services,married,high.school,no,yes,no,apr,mon,1,0,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
64,42,blue-collar,divorced,basic.6y,no,yes,no,may,wed,2,0,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no
65,35,admin.,single,university.degree,no,yes,no,jul,mon,3,0,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
66,49,technician,divorced,N/A,no,yes,yes,oct,thu,1,0,0,nonexistent,-3.4,92.431,-26.9,0.754,5017.5,no
67,29,services,divorced,high.school,no,no,yes,jun,mon,3,0,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
68,32,blue-collar,married,basic.9y,no,no,no,nov,mon,2,5,1,success,-0.1,93.2,-42.0,4.191,5195.8,yes
69,37,self-employed,married,university.degree,no,no,no,may,fri,1,0,1,failure,-1.8,92.893,-46.2,1.313,5099.1,no
70,39,technician,single,professional.course,no,no,no,jun,mon,4,0,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,yes
71,51,services,married,high.school,no,yes,no,jul,mon,3,0,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
72,28,admin.,single,high.school,no,yes,no,may,tue,3,0,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,no
73,34,management,married,university.degree,no,yes,no,may,wed,4,0,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no
74,31,technician,single,high.school,no,yes,yes,aug,tue,1,0,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,yes
75,31,admin.,married,university.degree,no,yes,no,aug,thu,5,0,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no
76,31,admin.,single,university.degree,no,yes,no,jun,wed,2,0,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
77,38,self-employed,single,university.degree,no,no,no,may,thu,2,0,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
78,33,unemployed,married,basic.9y,no,no,no,jun,fri,6,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
79,32,technician,single,university.degree,no,no,no,aug,tue,12,0,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
80,54,technician,married,professional.course,no,yes,no,apr,mon,1,0,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
81,41,admin.,divorced,high.school,no,yes,no,jun,tue,2,0,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
82,59,services,married,basic.4y,no,no,no,aug,thu,7,0,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
83,57,retired,married,university.degree,no,yes,no,apr,thu,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,no
84,38,entrepreneur,divorced,university.degree,no,yes,no,nov,thu,1,0,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,no
85,46,admin.,married,university.degree,no,yes,no,may,tue,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
86,37,unemployed,single,university.degree,no,yes,yes,nov,tue,1,0,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,no
88,45,admin.,single,university.degree,no,no,no,aug,thu,1,0,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,yes
89,36,blue-collar,married,basic.6y,no,yes,no,jul,wed,1,0,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
90,40,unemployed,single,high.school,no,yes,no,jul,mon,5,0,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
91,38,blue-collar,married,basic.9y,no,no,no,nov,tue,2,0,1,failure,-0.1,93.2,-42.0,4.153,5195.8,no
92,44,blue-collar,married,high.school,no,no,no,jun,tue,2,0,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
93,25,self-employed,married,university.degree,no,yes,no,may,fri,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
94,30,blue-collar,single,basic.6y,no,yes,no,jul,tue,5,0,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
95,43,management,married,professional.course,no,no,no,nov,tue,2,0,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,no
96,58,retired,married,basic.6y,no,no,no,may,mon,3,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
97,31,technician,married,professional.course,no,yes,no,may,wed,6,0,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
98,53,management,married,university.degree,no,no,no,jul,tue,2,0,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
99,52,admin.,married,N/A,no,no,no,aug,tue,1,0,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
100,37,management,married,university.degree,no,no,yes,apr,fri,1,0,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no
101,58,admin.,married,high.school,no,yes,no,jul,tue,1,0,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
102,37,services,married,high.school,no,yes,yes,may,thu,3,0,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
103,38,admin.,single,N/A,no,yes,no,may,fri,1,0,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no
104,33,services,single,basic.9y,no,yes,no,apr,thu,2,0,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,no
105,45,services,married,high.school,no,yes,no,may,fri,1,0,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,no
106,44,entrepreneur,married,professional.course,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
107,38,blue-collar,married,basic.6y,no,yes,no,jul,thu,2,0,0,nonexistent,1.4,93.918,-42.7,4.966,5228.1,no
108,34,blue-collar,married,basic.9y,no,no,no,jun,tue,1,0,0,nonexistent,-1.7,94.055,-39.8,0.702,4991.6,no
109,47,management,married,university.degree,no,yes,no,jul,wed,1,0,0,nonexistent,-2.9,92.469,-33.6,1.029,5076.2,no
110,59,admin.,married,university.degree,no,yes,yes,jul,wed,1,0,0,nonexistent,-2.9,92.469,-33.6,1.085,5076.2,no
111,51,blue-collar,married,basic.4y,no,yes,yes,aug,thu,2,0,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
112,31,blue-collar,married,basic.6y,no,yes,no,jun,wed,2,0,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
113,56,management,married,university.degree,no,yes,yes,nov,wed,1,0,1,failure,-0.1,93.2,-42.0,4.12,5195.8,no
114,39,admin.,married,university.degree,no,no,no,jun,mon,2,0,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
115,41,entrepreneur,married,university.degree,no,yes,no,nov,tue,1,0,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,yes
116,41,management,divorced,basic.6y,no,yes,no,nov,thu,1,0,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,no
117,53,services,married,high.school,no,no,no,may,thu,4,0,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
118,35,blue-collar,married,high.school,no,no,yes,jul,mon,4,0,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
119,58,retired,married,basic.9y,no,no,yes,may,wed,1,0,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
120,25,self-employed,married,professional.course,no,yes,no,jun,wed,2,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
121,35,blue-collar,divorced,basic.9y,no,yes,no,may,tue,1,0,1,failure,-1.8,92.893,-46.2,1.344,5099.1,no
122,28,services,single,high.school,no,no,no,jul,wed,1,0,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
123,55,blue-collar,married,professional.course,no,yes,yes,may,fri,3,0,1,failure,-1.8,92.893,-46.2,1.25,5099.1,no
124,54,entrepreneur,married,basic.4y,no,no,yes,may,thu,1,0,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
125,45,technician,divorced,basic.9y,no,no,no,jul,wed,2,0,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
126,32,blue-collar,married,basic.9y,no,yes,no,apr,thu,1,0,1,failure,-1.8,93.075,-47.1,1.41,5099.1,no
127,50,admin.,married,basic.9y,no,yes,no,aug,thu,3,0,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
129,33,self-employed,divorced,N/A,no,no,no,may,wed,4,0,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
130,29,management,married,university.degree,no,no,yes,aug,wed,2,0,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no
131,45,management,married,university.degree,no,yes,no,may,thu,1,0,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no
132,38,admin.,divorced,university.degree,no,no,no,apr,mon,1,0,0,nonexistent,-1.8,93.075,-47.1,1.392,5099.1,yes
133,24,services,single,professional.course,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
134,41,technician,married,professional.course,no,yes,no,aug,mon,1,0,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
135,58,retired,divorced,high.school,no,yes,no,jun,tue,1,0,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,yes
136,34,admin.,married,university.degree,no,no,yes,may,wed,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
137,34,admin.,married,university.degree,no,no,no,nov,mon,2,0,0,nonexistent,-1.1,94.767,-50.8,1.05,4963.6,no
138,37,technician,divorced,professional.course,no,no,no,may,wed,1,0,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
139,53,blue-collar,divorced,basic.4y,no,no,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,yes
140,54,technician,divorced,professional.course,no,yes,yes,jul,tue,14,0,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
141,32,technician,divorced,professional.course,no,yes,no,nov,tue,1,0,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,no
142,42,admin.,married,high.school,no,yes,no,jul,fri,6,0,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
143,28,technician,single,professional.course,no,yes,no,aug,thu,2,3,1,success,-2.9,92.201,-31.4,0.851,5076.2,yes
144,33,services,single,high.school,no,yes,no,may,fri,1,0,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no
145,41,blue-collar,married,basic.9y,no,yes,no,apr,mon,2,0,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
146,31,services,married,high.school,no,no,yes,nov,thu,1,0,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,no
147,40,technician,married,basic.9y,no,no,yes,may,thu,4,0,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
148,53,admin.,married,basic.9y,no,no,yes,nov,wed,1,0,1,failure,-3.4,92.649,-30.1,0.716,5017.5,no
149,40,admin.,divorced,university.degree,no,yes,no,aug,mon,1,0,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
151,28,blue-collar,married,basic.4y,no,yes,no,jul,mon,1,0,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
152,30,admin.,married,high.school,no,yes,no,nov,wed,3,0,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
153,31,unemployed,single,university.degree,no,yes,no,jul,tue,1,6,3,success,-1.7,94.215,-40.3,0.835,4991.6,yes
154,32,technician,single,university.degree,no,yes,no,aug,wed,1,0,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
155,54,blue-collar,married,basic.4y,no,yes,no,aug,tue,1,0,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
156,31,blue-collar,married,basic.9y,no,no,no,jul,wed,1,0,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
157,50,services,married,N/A,no,yes,no,aug,thu,2,0,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
158,47,technician,single,N/A,no,no,no,jul,tue,2,0,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
159,31,admin.,single,high.school,no,yes,yes,may,wed,1,0,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no
160,32,unemployed,married,high.school,no,yes,no,nov,thu,1,0,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,no
161,46,admin.,single,high.school,no,yes,no,nov,mon,2,0,2,failure,-1.1,94.767,-50.8,1.048,4963.6,no
162,47,admin.,single,high.school,no,no,no,may,mon,2,0,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no
163,32,admin.,single,high.school,no,no,no,nov,mon,2,0,2,failure,-1.1,94.767,-50.8,1.048,4963.6,no
164,52,services,divorced,high.school,no,no,no,nov,mon,1,0,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
165,45,admin.,married,high.school,no,yes,no,oct,fri,3,6,1,success,-1.1,94.601,-49.5,1.029,4963.6,yes
166,32,admin.,married,university.degree,no,yes,no,may,fri,2,0,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no
168,49,services,married,high.school,no,yes,no,may,fri,2,0,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
169,46,admin.,married,high.school,no,yes,yes,jun,wed,10,0,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
170,46,blue-collar,married,professional.course,no,no,no,nov,fri,1,0,0,nonexistent,-1.1,94.767,-50.8,1.028,4963.6,no
171,38,admin.,married,university.degree,no,yes,no,aug,tue,6,0,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
172,57,services,married,professional.course,no,no,no,aug,mon,2,0,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
174,44,technician,married,professional.course,no,no,no,may,fri,3,0,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no
175,47,technician,married,university.degree,no,yes,no,aug,wed,7,0,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
176,40,blue-collar,married,basic.9y,no,yes,yes,may,wed,2,0,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
177,57,retired,single,professional.course,no,yes,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
178,27,admin.,single,N/A,no,no,no,mar,tue,1,3,1,success,-1.8,93.369,-34.8,0.637,5008.7,yes
179,52,blue-collar,married,basic.9y,no,no,no,aug,fri,1,0,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,yes
180,34,management,married,university.degree,no,yes,yes,jun,wed,1,0,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,no
181,42,entrepreneur,married,university.degree,no,yes,no,may,tue,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
182,51,technician,married,N/A,no,yes,no,jun,fri,3,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
183,45,management,married,basic.4y,no,yes,no,may,fri,1,0,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
184,56,retired,married,high.school,no,no,no,may,mon,1,0,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,no
185,41,management,married,university.degree,no,yes,no,may,thu,1,0,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no
186,44,admin.,married,high.school,no,yes,no,aug,fri,1,0,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
187,50,blue-collar,married,basic.6y,no,yes,no,may,mon,3,3,1,success,-1.8,92.893,-46.2,1.354,5099.1,yes
188,54,self-employed,married,high.school,no,no,no,aug,tue,3,0,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
189,51,blue-collar,married,basic.6y,no,no,no,aug,fri,1,0,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
190,30,blue-collar,single,basic.9y,no,no,no,nov,wed,1,0,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
191,42,housemaid,married,basic.4y,no,yes,no,jun,fri,8,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
192,41,technician,married,professional.course,no,yes,no,jun,mon,11,0,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
193,47,services,single,basic.9y,no,no,no,nov,tue,2,0,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,no
194,35,blue-collar,married,basic.6y,no,yes,no,apr,fri,1,0,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no
195,58,blue-collar,married,basic.9y,no,no,no,nov,tue,1,0,1,failure,-0.1,93.2,-42.0,4.153,5195.8,no
196,50,blue-collar,divorced,high.school,no,yes,yes,jul,mon,2,0,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,yes
197,41,technician,married,professional.course,no,no,no,may,tue,1,0,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
198,38,technician,married,university.degree,no,yes,no,may,wed,1,0,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
199,32,student,single,university.degree,no,no,no,nov,thu,2,0,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,no
200,21,student,single,high.school,no,no,no,aug,tue,1,0,1,failure,-2.9,92.201,-31.4,0.884,5076.2,no
201,46,admin.,divorced,basic.9y,no,no,no,may,wed,1,0,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
202,42,self-employed,married,university.degree,no,yes,no,nov,fri,3,0,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,no
203,55,services,married,basic.9y,no,no,no,aug,wed,13,0,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
204,29,admin.,single,high.school,no,yes,no,nov,mon,1,6,1,success,-1.1,94.767,-50.8,1.05,4963.6,no
205,30,blue-collar,single,basic.6y,no,yes,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
206,53,management,married,basic.4y,no,yes,no,nov,wed,1,0,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
207,35,management,married,university.degree,no,yes,no,nov,wed,2,0,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
208,46,services,married,professional.course,no,yes,no,may,tue,4,0,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
209,30,blue-collar,married,N/A,no,no,no,may,wed,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
210,43,entrepreneur,married,university.degree,no,yes,no,jul,tue,1,0,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
211,42,services,married,high.school,no,yes,no,jul,mon,4,0,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
212,32,technician,married,professional.course,no,no,no,jul,tue,1,0,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
213,41,blue-collar,divorced,basic.9y,no,yes,no,may,fri,1,0,1,failure,-1.8,92.893,-46.2,1.313,5099.1,no
214,28,admin.,married,university.degree,no,no,no,may,tue,3,0,1,failure,-1.8,92.893,-46.2,1.291,5099.1,no
215,24,services,single,university.degree,no,no,no,jul,thu,6,0,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
216,43,management,married,university.degree,no,yes,yes,apr,fri,1,0,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
217,30,admin.,single,university.degree,no,yes,no,aug,mon,1,0,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no
218,55,blue-collar,married,basic.9y,no,no,no,nov,tue,2,0,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,no
219,51,retired,married,basic.9y,no,no,no,jul,fri,1,0,0,nonexistent,1.4,93.918,-42.7,4.959,5228.1,no
220,22,student,single,high.school,no,no,yes,jul,fri,2,0,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
221,32,entrepreneur,single,university.degree,no,no,yes,nov,thu,1,0,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,no
222,43,admin.,married,professional.course,no,no,no,jul,thu,3,0,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
223,39,management,married,basic.6y,no,no,no,jun,mon,5,0,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
